ds,High_Upper,Higher_Lower,Low_upper,Low_Lower,Open,ETH,USDT
2021-01-24 04:00:00,1400.4091250435945,1281.7025847787265,1330.8578635232539,1218.4891885866707,1293.33,0,1073.1682125475431
2021-01-24 08:00:00,1391.6264741475493,1279.2528651838672,1334.1580965865192,1220.893937823781,1314.74,0.8162588896264988,0
2021-01-24 12:00:00,1394.1961085272912,1283.2289507189432,1328.7485264901277,1217.6187512994188,1342.97,0.8162588896264988,0
2021-01-24 16:00:00,1400.8370871111292,1280.909809297262,1338.0458238990766,1228.6801676396158,1320.5,0.8162588896264988,0
2021-01-24 20:00:00,1403.9454351775823,1284.4926171245181,1348.3590489744245,1234.8605256579808,1326.37,0.8162588896264988,0
2021-01-25 00:00:00,1419.1590717110603,1311.916864453708,1349.544257316457,1239.4025627028102,1392.51,0.8162588896264988,0
2021-01-25 04:00:00,1420.4107220011117,1314.9958337706762,1363.0512198280344,1250.4263564643481,1426.91,0.8162588896264988,0
2021-01-25 08:00:00,1422.8207624013805,1314.269392978905,1368.3569460383499,1258.4861449065609,1424.61,0.8162588896264988,0
2021-01-25 12:00:00,1430.4895441852318,1325.0811704330645,1372.8583847085429,1262.8497124158803,1411.18,0.8162588896264988,0
2021-01-25 16:00:00,1442.0128120873921,1329.8762677225893,1377.210669783511,1269.4741444069216,1434.87,0.8162588896264988,0
2021-01-25 20:00:00,1440.0072276956107,1331.9107653572198,1382.6612324446467,1271.0888839472375,1382.87,0.8162588896264988,0
2021-01-26 00:00:00,1444.7471992479775,1332.3902338373555,1382.066028442537,1269.3618781783023,1317.88,0.8162588896264988,0
2021-01-26 04:00:00,1441.5000050197602,1328.632786364609,1380.203419122816,1273.8478015073904,1312.8,0.8162588896264988,0
2021-01-26 08:00:00,1432.1959231978703,1323.0439648929785,1378.683206005131,1273.6964254668194,1317.41,0.8162588896264988,0
2021-01-26 12:00:00,1431.8572630263636,1321.5316719290108,1381.4928858219077,1269.0236500492651,1313.46,0.8162588896264988,0
2021-01-26 16:00:00,1433.898656639082,1326.980082618175,1371.6085062181342,1267.9650444300426,1279.95,0.8162588896264988,0
2021-01-26 20:00:00,1441.997674317087,1332.3828932670058,1378.035697829555,1266.323029092032,1341.94,0.8162588896264988,0
2021-01-27 00:00:00,1436.294378974568,1323.144880061742,1378.3254005413733,1265.7874167885464,1365.97,0.8162588896264988,0
2021-01-27 04:00:00,1439.0970266855927,1321.168789111413,1372.961084572867,1261.5732499898472,1309.0,0,1068.482886521087
2021-01-27 08:00:00,1433.4586077770691,1321.8751837706407,1380.9683378552004,1269.6959889102052,1293.36,0,1068.482886521087
2021-01-27 12:00:00,1433.5630093246964,1321.6869218234838,1377.9865636054744,1268.2989726094318,1249.02,0,1068.482886521087
2021-01-27 16:00:00,1433.8999465697093,1318.3653413996199,1372.7936667429599,1263.7453693843868,1281.08,0,1068.482886521087
2021-01-27 20:00:00,1437.8009226525926,1326.8849581141199,1373.1361388620278,1263.7153000360695,1268.77,0,1068.482886521087
2021-01-28 00:00:00,1424.2389186338607,1311.1800483878176,1359.293935913034,1253.3772354687267,1239.03,0,1068.482886521087
2021-01-28 04:00:00,1425.319196438541,1318.702500536163,1366.7177781915152,1253.3524296052346,1287.59,0,1068.482886521087
2021-01-28 08:00:00,1421.8762048456954,1306.452912632916,1365.3822026739595,1256.3621519122482,1284.88,0.8315818492941651,0
2021-01-28 12:00:00,1428.5955000407798,1314.311010497764,1369.728630758593,1255.0002016503736,1302.55,0.8315818492941651,0
2021-01-28 16:00:00,1430.6587054435788,1309.4601152029745,1373.3894405313333,1259.167559044221,1350.43,0.8315818492941651,0
2021-01-28 20:00:00,1422.0587614051242,1303.3735529221829,1365.357536670398,1256.478597158226,1332.24,0.8315818492941651,0
2021-01-29 00:00:00,1424.0065298596069,1305.692206644623,1376.2894545733143,1262.0342623391032,1329.69,0.8315818492941651,0
2021-01-29 04:00:00,1425.101764393806,1310.0011124335417,1379.5045424421266,1264.0913593545276,1320.82,0.8315818492941651,0
2021-01-29 08:00:00,1426.4350698742628,1311.2124423192388,1380.7414552459602,1264.0709884988805,1315.9,0.8315818492941651,0
2021-01-29 12:00:00,1433.8696304855519,1313.0359685888282,1371.773891012883,1258.513698348099,1416.96,0.8315818492941651,0
2021-01-29 16:00:00,1432.921927083318,1318.9329649111355,1383.2803466498522,1275.3748654539015,1396.18,0.8315818492941651,0
2021-01-29 20:00:00,1442.0635817685709,1325.1738557898634,1388.0464548772911,1276.1957389492889,1348.3,0.8315818492941651,0
2021-01-30 00:00:00,1450.5965528666204,1333.334141437641,1397.01119570247,1284.9855421286911,1379.5,0.8315818492941651,0
2021-01-30 04:00:00,1456.3767414604538,1335.982745888374,1400.6406626196174,1286.4696643436503,1342.71,0.8315818492941651,0
2021-01-30 08:00:00,1456.976299504126,1337.9433731225236,1410.417133649056,1293.3830963389594,1346.87,0.8315818492941651,0
2021-01-30 12:00:00,1466.6733734736365,1351.130733644273,1409.678554953563,1290.0368448485076,1340.01,0.8315818492941651,0
2021-01-30 16:00:00,1470.8253396331013,1349.9877002844585,1408.5820106536887,1294.5141293048327,1371.27,0.8315818492941651,0
2021-01-30 20:00:00,1471.4020659318517,1351.9730696051568,1416.2826855373673,1303.6772122397063,1371.51,0.8315818492941651,0
2021-01-31 00:00:00,1475.4493920311786,1357.8188089564792,1413.2544118211888,1302.1356606773797,1378.05,0.8315818492941651,0
2021-01-31 04:00:00,1477.681544449536,1363.0901918581412,1421.0424378766702,1302.7773813583558,1357.49,0.8315818492941651,0
2021-01-31 08:00:00,1473.4340851119591,1354.4180870012094,1418.0109405677283,1307.5775990431123,1346.28,0.8315818492941651,0
2021-01-31 12:00:00,1480.5324335472624,1361.5941826163958,1421.264425252529,1306.527467723223,1354.29,0.8315818492941651,0
2021-01-31 16:00:00,1478.542741403883,1366.5275844266635,1419.1940744185038,1311.0883904867328,1311.1,0.8315818492941651,0
2021-01-31 20:00:00,1478.6551335445724,1370.9167584003512,1421.3253570815234,1316.3275344371857,1305.0,0.8315818492941651,0
